name,album,release_date,track_number,id,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms
Vigilante Shit,Midnights,10/21/2022,8.0,7EkAf94yIyU5k686SDYNHP,spotify:track:7EkAf94yIyU5k686SDYNHP,0.175,0.87,0.284,4.06e-05,0.127,-10.984,,79.975,0.176,,164801.0
Bejeweled,Midnights,10/21/2022,9.0,5eZin4PL4EZpemG7Vi6Qvq,spotify:track:5eZin4PL4EZpemG7Vi6Qvq,0.0641,0.696,,7.88e-05,0.0888,-9.137,0.0664,164.0,0.39,63.0,194165.0
Labyrinth,,10/21/2022,10.0,2pRNMwZ4lmmXBQRjytMyi2,spotify:track:2pRNMwZ4lmmXBQRjytMyi2,0.802,0.48,0.31,0.218,0.123,-15.418,0.0439,109.982,0.146,61.0,247962.0
Karma,Midnights,10/21/2022,11.0,6IW6cNEGZEtgJtw9ThbrG8,spotify:track:6IW6cNEGZEtgJtw9ThbrG8,0.0655,0.648,0.639,0.0,0.499,-7.052,0.065,,0.102,62.0,204852.0
Sweet Nothing,Midnights,10/21/2022,,5YhIwCzTBYp9TfSYFRyFL6,spotify:track:5YhIwCzTBYp9TfSYFRyFL6,0.966,0.336,0.159,9.79e-05,0.115,-14.899,0.0463,176.768,0.392,61.0,188496.0
Mastermind,Midnights,10/21/2022,,7zcJSflhqcSGICHUjgncnj,spotify:track:7zcJSflhqcSGICHUjgncnj,0.549,0.661,0.354,0.00121,0.0912,-14.088,0.142,125.974,0.123,63.0,191039.0
State Of Grace (Taylor's Version),Red (Taylor's Version),11/12/2021,1.0,,spotify:track:6lzc0Al0zfZOIFsFvBS1ki,0.000328,0.594,0.713,0.0,,-5.314,0.0503,129.958,0.328,69.0,295413.0
Red (Taylor's Version),Red (Taylor's Version),11/12/2021,2.0,4OAuvHryIVv4kMDNSLuPt6,spotify:track:4OAuvHryIVv4kMDNSLuPt6,0.00108,0.516,0.777,1.62e-06,0.0761,-4.908,0.0375,125.047,,76.0,223093.0
Treacherous (Taylor's Version),Red (Taylor's Version),11/12/2021,3.0,,spotify:track:3S7HNKPakdwNEBFIVTL6dZ,0.0344,0.645,0.593,0.000127,0.13,-6.506,0.0288,,0.299,69.0,242720.0
I Knew You Were Trouble (Taylor's Version),Red (Taylor's Version),11/12/2021,4.0,6AtZLIzUINvExIUy4QhdjP,spotify:track:6AtZLIzUINvExIUy4QhdjP,0.0129,0.584,0.557,0.0,0.0576,-6.371,0.0342,154.008,0.767,74.0,219760.0
All Too Well (Taylor's Version),Red (Taylor's Version),11/12/2021,5.0,3nsfB1vus2qaloUdcBZvDu,,0.0171,0.44,0.528,0.00203,0.234,-7.809,0.0317,,0.132,74.0,329160.0
22 (Taylor's Version),Red (Taylor's Version),11/12/2021,6.0,3yII7UwgLF6K5zW3xad3MP,,0.000443,0.642,0.695,1.02e-05,0.0753,-5.62,,103.984,0.642,71.0,230960.0
I Almost Do (Taylor's Version),Red (Taylor's Version),11/12/2021,7.0,2r9CbjYgFhtAmcFv1cSquB,,0.0167,0.511,,,0.113,-6.587,0.0264,,0.248,67.0,244586.0
We Are Never Ever Getting Back Together (Taylor's Version),Red (Taylor's Version),11/12/2021,8.0,5YqltLsjdqFtvqE7Nrysvs,spotify:track:5YqltLsjdqFtvqE7Nrysvs,0.0317,0.567,0.686,1.86e-06,0.0732,-6.139,0.175,172.014,0.716,,193146.0
Stay Stay Stay (Taylor's Version),Red (Taylor's Version),11/12/2021,9.0,7eQj6r5PIdYKEIZjucBMcq,spotify:track:7eQj6r5PIdYKEIZjucBMcq,0.0848,0.693,0.681,0.0,0.0768,,,100.02,0.663,67.0,
The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),Red (Taylor's Version),11/12/2021,10.0,0y6kdSRCVQhSsHSpWvTUm7,,0.0399,0.502,0.534,0.0,0.0977,-5.954,0.0278,94.05,0.155,68.0,
Holy Ground (Taylor's Version),Red (Taylor's Version),11/12/2021,,7J4b3LVCIGO4CMBDFLPoP6,spotify:track:7J4b3LVCIGO4CMBDFLPoP6,0.0288,0.622,0.809,0.00218,0.109,-5.623,0.0638,156.894,0.511,66.0,202960.0
Sad Beautiful Tragic (Taylor's Version),,11/12/2021,12.0,,spotify:track:73qMN9bXy7MSPwwGfH3wQr,,0.601,0.406,9.19e-05,0.133,-11.827,,130.059,0.232,68.0,284773.0
The Lucky One (Taylor's Version),Red (Taylor's Version),11/12/2021,13.0,4e5ayHsOLJNLTGfjau2mEw,spotify:track:4e5ayHsOLJNLTGfjau2mEw,0.066,0.686,0.571,0.0,0.0608,-7.138,0.05,117.889,0.538,66.0,240466.0
Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),Red (Taylor's Version),11/12/2021,14.0,7qEUFOVcxRI19tbT68JcYK,spotify:track:7qEUFOVcxRI19tbT68JcYK,0.271,0.498,0.61,0.0,0.223,-5.098,0.0363,79.918,0.474,71.0,245426.0
Starlight (Taylor's Version),Red (Taylor's Version),11/12/2021,15.0,7A2cNLRT0YJc1yjxHlKihs,spotify:track:7A2cNLRT0YJc1yjxHlKihs,0.00324,,0.685,0.0,0.18,-5.864,,126.014,0.605,,220413.0
Begin Again (Taylor's Version),Red (Taylor's Version),11/12/2021,16.0,05GsNucq8Bngd9fnd4fRa0,,0.075,0.519,0.527,0.0,0.132,-7.673,,78.915,0.267,68.0,238866.0
The Moment I Knew (Taylor's Version),Red (Taylor's Version),11/12/2021,17.0,0NRHj8hDwwmSPaA41o379r,spotify:track:0NRHj8hDwwmSPaA41o379r,0.0494,0.636,0.402,0.0,0.107,-7.855,0.031,,0.208,65.0,285280.0
,,11/12/2021,18.0,4pNApnaUWAL2J4KO2eqokq,spotify:track:4pNApnaUWAL2J4KO2eqokq,0.0158,0.46,0.632,0.0,0.0822,-6.031,,79.846,0.399,69.0,223333.0
Girl At Home (Taylor's Version),,,19.0,,spotify:track:0DMVrlMUn01M0IcpDbwgu7,0.00955,0.691,0.736,1.88e-05,0.101,-6.974,0.0326,125.089,0.612,,220520.0
State Of Grace (Acoustic Version) (Taylor's Version),Red (Taylor's Version),,20.0,5jAIouBES8LWMiriuNq170,,,0.445,0.131,1.57e-06,0.108,,,208.918,0.101,,321640.0
Ronan (Taylor's Version),Red (Taylor's Version),11/12/2021,21.0,,spotify:track:7nWui6jiMM2m9qFmET1Mtj,0.661,0.623,0.279,0.0,0.193,-10.802,0.031,116.04,0.38,61.0,
Better Man (Taylor's Version) (From The Vault),Red (Taylor's Version),11/12/2021,22.0,,spotify:track:4OmFmE0fzcMG6g0Y8p4eSD,,0.473,0.579,0.0,,-5.824,0.0384,,0.255,69.0,297013.0
Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),Red (Taylor's Version),11/12/2021,23.0,01K4zKU104LyJ8gMb7227B,spotify:track:01K4zKU104LyJ8gMb7227B,,0.606,,,0.154,-9.455,0.0275,101.96,0.446,,258812.0
Babe (Taylor's Version) (From The Vault),Red (Taylor's Version),11/12/2021,24.0,0v4z1tuZvn6LGknom9Qx7d,spotify:track:0v4z1tuZvn6LGknom9Qx7d,0.0538,0.584,,2.83e-06,0.121,-7.075,0.0931,167.844,0.746,70.0,224240.0
Message In A Bottle (Taylor's Version) (From The Vault),,11/12/2021,25.0,3z6XUommYDWPHeFhmhhT6j,spotify:track:3z6XUommYDWPHeFhmhhT6j,0.00188,0.622,0.791,3.72e-06,0.083,-6.106,0.0535,115.915,0.494,74.0,225960.0
I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),Red (Taylor's Version),11/12/2021,26.0,,spotify:track:4CkgMiMqZ5JzW9iYXSTMTL,,0.391,,0.0,,-4.516,0.0495,149.654,,74.0,285106.0
Forever Winter (Taylor's Version) (From The Vault),Red (Taylor's Version),11/12/2021,27.0,3oGVx9RBmiYGv5ZCecWLkx,,0.256,0.611,0.552,,0.134,-5.828,0.031,116.012,0.41,66.0,263533.0
Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),Red (Taylor's Version),,,,spotify:track:4IQkfUsrwXol38VV3U7t7T,0.817,0.61,0.488,0.0,,-6.918,0.0293,125.039,0.443,71.0,240226.0
The Very First Night (Taylor's Version) (From The Vault),Red (Taylor's Version),11/12/2021,29.0,6pYNq0ZwpPVazKzsqpf0G8,spotify:track:6pYNq0ZwpPVazKzsqpf0G8,0.00115,0.678,0.733,0.0,0.104,-5.025,0.0281,121.009,0.581,72.0,200280.0
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Red (Taylor's Version),11/12/2021,30.0,5enxwA8aAbwZbf5qCHORXi,spotify:track:5enxwA8aAbwZbf5qCHORXi,0.274,0.631,0.518,0.0,0.088,-8.771,0.0303,93.023,0.205,,613026.0
State Of Grace (Taylor's Version),,11/12/2021,1.0,,spotify:track:5lFDIbYMcFHPPgzMcnPqSz,0.000328,0.594,0.713,0.0,0.114,-5.314,0.0503,129.958,0.328,51.0,
Red (Taylor's Version),Red (Taylor's Version),,2.0,78c485atQVK19038U2RUld,spotify:track:78c485atQVK19038U2RUld,0.00108,0.516,0.777,1.62e-06,0.0761,-4.908,0.0375,125.047,0.408,46.0,223093.0
Treacherous (Taylor's Version),Red (Taylor's Version),11/12/2021,3.0,0YrMTMLpLq1UIkWgghNM6c,spotify:track:0YrMTMLpLq1UIkWgghNM6c,0.0344,0.645,0.593,0.000127,0.13,,0.0288,109.984,0.299,44.0,242720.0
I Knew You Were Trouble (Taylor's Version),Red (Taylor's Version),,,6tNSmBKSjFV1366ASuULfZ,,0.0129,0.584,0.557,,0.0576,-6.371,0.0342,154.008,0.767,69.0,219760.0
All Too Well (Taylor's Version),Red (Taylor's Version),11/12/2021,5.0,1IBhYEvvi02tDVByxIiTh4,spotify:track:1IBhYEvvi02tDVByxIiTh4,0.0171,0.44,0.528,0.00203,0.234,-7.809,0.0317,185.972,,,329160.0
22 (Taylor's Version),Red (Taylor's Version),11/12/2021,6.0,2T9WeqSMJJb8YBDHPYGU4p,spotify:track:2T9WeqSMJJb8YBDHPYGU4p,0.000443,0.642,0.695,1.02e-05,0.0753,-5.62,0.0281,103.984,0.642,66.0,230960.0
I Almost Do (Taylor's Version),Red (Taylor's Version),11/12/2021,7.0,6KcTkNLx1IKVDAdexl24kL,spotify:track:6KcTkNLx1IKVDAdexl24kL,0.0167,0.511,0.559,0.0,0.113,-6.587,0.0264,145.88,0.248,40.0,244586.0
We Are Never Ever Getting Back Together (Taylor's Version),Red (Taylor's Version),11/12/2021,8.0,31CdkzHnMbvJuKZvtCQfR6,spotify:track:31CdkzHnMbvJuKZvtCQfR6,0.0317,0.567,0.686,1.86e-06,0.0732,-6.139,0.175,,0.716,68.0,
Stay Stay Stay (Taylor's Version),Red (Taylor's Version),11/12/2021,9.0,1ftFtW8S1621tu0MIQy0Sg,spotify:track:1ftFtW8S1621tu0MIQy0Sg,0.0848,,0.681,0.0,0.0768,-7.039,0.025,100.02,0.663,42.0,205786.0
The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),Red (Taylor's Version),11/12/2021,10.0,2eybKKDV7Naq9DhiUJpJSP,spotify:track:2eybKKDV7Naq9DhiUJpJSP,0.0399,0.502,0.534,,0.0977,-5.954,0.0278,94.05,0.155,41.0,299080.0
Holy Ground (Taylor's Version),Red (Taylor's Version),11/12/2021,11.0,,spotify:track:661CJWXysgwKXI1dreYNBU,0.0288,0.622,0.809,0.00218,,-5.623,0.0638,156.894,0.511,48.0,
Sad Beautiful Tragic (Taylor's Version),Red (Taylor's Version),11/12/2021,12.0,21SralRv4ucDT3i1rYrr85,spotify:track:21SralRv4ucDT3i1rYrr85,0.622,,,9.19e-05,0.133,-11.827,0.0275,130.059,0.232,,284773.0
The Lucky One (Taylor's Version),Red (Taylor's Version),11/12/2021,13.0,6Gr4KvawYKiZBHQWub9n7o,spotify:track:6Gr4KvawYKiZBHQWub9n7o,0.066,0.686,0.571,0.0,0.0608,-7.138,0.05,117.889,0.538,39.0,240466.0
Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),Red (Taylor's Version),11/12/2021,14.0,5uQQcvcXoCwKPK5sYvarzO,spotify:track:5uQQcvcXoCwKPK5sYvarzO,0.271,0.498,0.61,0.0,0.223,,0.0363,79.918,0.474,44.0,245426.0
Starlight (Taylor's Version),Red (Taylor's Version),,15.0,2bspOurPlpKv27SVt7UbHy,spotify:track:2bspOurPlpKv27SVt7UbHy,0.00324,0.628,0.685,0.0,0.18,-5.864,0.0358,126.014,0.605,45.0,220413.0
Begin Again (Taylor's Version),Red (Taylor's Version),11/12/2021,16.0,38TSM6TDx1fzs7JnioMQXe,spotify:track:38TSM6TDx1fzs7JnioMQXe,0.075,,0.527,0.0,0.132,-7.673,0.0274,,0.267,40.0,238866.0
The Moment I Knew (Taylor's Version),Red (Taylor's Version),11/12/2021,17.0,19JrUNf5amGgM9Ui9kdkss,spotify:track:19JrUNf5amGgM9Ui9kdkss,0.0494,,0.402,0.0,0.107,-7.855,0.031,125.952,0.208,39.0,285280.0
Come Back...Be Here (Taylor's Version),Red (Taylor's Version),11/12/2021,18.0,,spotify:track:5XaLWURooWKZiraOWSTWjm,0.0158,0.46,0.632,0.0,,-6.031,,79.846,0.399,40.0,223333.0
Girl At Home (Taylor's Version),Red (Taylor's Version),11/12/2021,19.0,6lJPTJCHgLQ4kr69SftElR,spotify:track:6lJPTJCHgLQ4kr69SftElR,0.00955,0.691,0.736,1.88e-05,,-6.974,0.0326,125.089,0.612,38.0,220520.0
State Of Grace (Acoustic Version) (Taylor's Version),Red (Taylor's Version),,20.0,3CiOGu8nBPGfrJr4whAOZX,spotify:track:3CiOGu8nBPGfrJr4whAOZX,0.663,0.445,0.131,1.57e-06,0.108,-13.778,0.0564,208.918,0.101,38.0,
